Season,AvgMaxTemp,AvgMinTemp,TotalPrecip,TotalSnowfall,Total_Days_6in_Base,MaxRolling5Year,MinRolling5Year
2012,33.30769230769231,19.153846153846153,3.059999999999999,17.999999999999993,0,24.940244200244237,10.016556776556772
2013,27.288888888888888,12.28888888888889,3.8299999999999996,34.699999999999996,22,25.881538461538497,10.995213675213673
2014,18.655555555555555,0.7555555555555555,4.289999999999998,56.99999999999999,71,25.054871794871833,10.110769230769227
2015,25.133333333333333,11.622222222222222,1.55,15.9,0,25.359316239316275,10.530769230769227
2016,30.307692307692307,18.10989010989011,3.72,25.700000000000003,5,26.93863247863252,12.38608058608058
2017,31.122222222222224,17.122222222222224,3.7600000000000002,24.499999999999996,10,26.50153846153851,11.979755799755795
2018,25.044444444444444,9.3,3.6699999999999986,42.70000000000001,12,26.05264957264962,11.381978021978018
2019,24.988888888888887,10.633333333333333,4.549999999999998,52.50000000000001,21,27.319316239316283,13.35753357753357
2020,29.142857142857142,14.098901098901099,3.3800000000000003,28.600000000000005,52,28.121221001221045,13.852869352869345
2021,26.866666666666667,13.0,2.1499999999999995,26.1,65,27.433015873015915,12.830891330891324
2022,25.844444444444445,7.388888888888889,3.3700000000000006,42.3,34,26.377460317460354,10.884224664224657
2023,26.666666666666668,12.733333333333333,6.4499999999999975,57.6,65,26.701904761904796,11.570891330891325
